trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.002,bP,d6,e5,0.224,1,e5
1,0.429,wP,h5,g6,0.148,0,e5
2,0.782,bB,d6,f4;c7;b4,0.119,0,e5
3,1.106,wR,c4,d4;b4,0.125,0,e5
4,1.435,bB,e2,h5,0.133,0,e5
5,1.771,wP,h5,g6,0.136,0,e5
6,2.11,wB,c8,e6,0.133,0,e5
7,2.447,bQ,f7,h7,0.148,0,e5
8,2.799,wQ,f3,a3;a8;b3,0.117,0,e5
9,3.121,wR,b3,b4,0.134,0,e5
10,3.459,wQ,a8,f8;e8,0.117,0,e5
11,3.781,bR,h8,b8,0.135,0,e5
12,4.121,wP,f6,e7,0.115,0,e5
13,4.44,bP,h6,g5,0.156,0,e5
14,4.8,bR,e6,e1,0.128,0,e5
15,5.132,wB,h4,f6,0.11,0,e5
16,5.446,wQ,b7,c7,0.126,0,e5
17,5.777,wB,g8,c4,0.147,0,e5
18,6.128,wP,c2,d3,0.157,0,e5
19,6.489,wB,b3,a4,0.155,0,e5
20,6.849,bP,b7,c6,0.163,0,e5
21,7.217,bQ,e6,b3;e3,0.156,0,e5
22,7.576,wK,b7,a7,0.164,0,e5
23,7.945,bR,a2,f2,0.185,0,e5
24,8.335,wK,f5,e6;g5;e4,0.155,0,e5
25,8.693,wB,a5,c3,0.227,0,e5
26,9.124,wB,a6,b5;c8,0.184,0,e5
27,9.512,wB,h8,a1,0.163,0,e5
28,9.879,wQ,g4,a4;e6;h5,0.163,0,e5
29,10.246,wP,e4,f5,0.202,0,e5
30,10.653,wB,f1,e2,0.153,0,e5
31,11.011,bR,b6,b7;b5,0.187,0,e5
32,11.401,bQ,e7,e5;d6,0.194,1,e5
33,11.799,wK,a5,b4,0.178,0,e5
34,12.182,bQ,e5,f6,0.17,0,e5
35,12.556,bP,e3,f2,0.202,0,e5
36,12.962,bQ,h2,h3;g2,0.171,0,e5
37,13.336,wP,f2,g3,0.171,0,e5
38,13.711,wK,d3,c2;d4,0.165,0,e5
39,14.079,wQ,g7,g1,0.164,0,e5
40,14.446,bN,b8,c6,0.187,0,e5
41,14.837,wN,b5,d6,0.2,0,e5
42,15.242,wR,g5,h5;g8,0.2,0,e5
43,15.646,wR,a2,g2,0.14,0,e5
44,15.991,bK,h4,g4;h5,0.194,0,e5
45,16.389,wR,f5,g5,0.202,0,e5
46,16.793,wP,b6,c7,0.173,0,e5
47,17.169,bP,b7,a6,0.174,0,e5
48,17.548,bR,e6,e2;f6,0.183,0,e5
49,17.935,bB,d6,h2,0.178,0,e5
50,18.317,bK,b5,a6;c4,0.187,0,e5
51,18.707,bP,g5,h4;f6,0.171,0,e5
52,19.083,bP,a2,b1,0.14,0,e5
53,19.427,bB,f3,g4;b7,0.157,0,e5
